ID,Loại,Mã sản phẩm,Tên,Đã đăng,Nhãn nổi bật?,Hiển thị trong danh mục,Mô tả ngắn,Mô tả,Ngày bắt đầu giảm giá,Ngày kết thúc giảm giá,Trạng thái thuế,Lớp thuế,Còn hàng?,Kho,Số lượng tồn kho ít,Cho phép đặt trước?,Bán riêng?,Cân nặng (kg),Độ dài (cm),Độ rộng (cm),Chiều cao (cm),Cho phép đánh giá của khách hàng?,Ghi chú thanh toán,Giá khuyến mãi,Giá bán thường,Danh mục,Từ khóa,Lớp giao hàng,Hình ảnh,Giới hạn tải xuống,Ngày hết hạn tải về,Gốc,Các sản phẩm theo nhóm,Upsells,Bán chéo,URL ngoài,Nội dung nút bấm,Vị trí,Tên thuộc tính 1,Giá trị thuộc tính 1,Thuộc tính hiển thị 1,Thuộc tính toàn cục 1,Tên thuộc tính 2,Giá trị thuộc tính 2,Thuộc tính hiển thị 2,Thuộc tính toàn cục 2,Tên thuộc tính 3,Giá trị thuộc tính 3,Thuộc tính hiển thị 3,Thuộc tính toàn cục 3,Tên thuộc tính 4,Giá trị thuộc tính 4,Thuộc tính hiển thị 4,Thuộc tính toàn cục 4,Tên thuộc tính 5,Giá trị thuộc tính 5,Thuộc tính hiển thị 5,Thuộc tính toàn cục 5,Tên thuộc tính 6,Giá trị thuộc tính 6,Thuộc tính hiển thị 6,Thuộc tính toàn cục 6,Meta: _customize_changeset_uuid,Meta: __update,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_primary_pwb-brand,Meta: _yoast_wpseo_primary_product_cat
11,simple,,Choya Single Year,1,0,visible,,"<div>
                                
    </div>",,,,Còn hàng,1,,,,,,,,,,,,400000,Liqueur / Tequila / Gin / Rum,,,https://cdn-images.kiotviet.vn/ctydailoi/38ef5e50d25b4dc1b5dc77293b749716.jpg,,,,,,,,,,Dung Tích,750 ml,1,1,Nồng Độ,15%,1,1,Tuổi Rượu,,1,1,Thương Hiệu,Choya,1,1,Xuất xứ,Nhật,1,1,Phân Loại,Liqueur,1,1,,,,,
12,simple,,Choya Single Year,1,0,visible,,"<div>
                                
    </div>",,,,Hết hàng,0,,,,,,,,,,,,600000,Liqueur / Tequila / Gin / Rum,,,https://ruoutaychinhhang.com/userfiles/images/SAN%20PHAM/choya-single-year-682.jpg,,,,,,,,,,Dung Tích,700 ml,1,1,Nồng Độ,15%,1,1,Tuổi Rượu,,1,1,Thương Hiệu,Choya,1,1,Xuất xứ,Nhật,1,1,Phân Loại,Liqueur,1,1,,,,,
13,simple,,Choya Shisho,1,0,visible,,"<div>
                                
    </div>",,,,Hết hàng,0,,,,,,,,,,,,550000,Liqueur / Tequila / Gin / Rum,,,https://ruoutaychinhhang.com/userfiles/images/SAN%20PHAM/choya-shisho-681.jpg,,,,,,,,,,Dung Tích,700 ml,1,1,Nồng Độ,17%,1,1,Tuổi Rượu,,1,1,Thương Hiệu,Choya,1,1,Xuất xứ,Nhật,1,1,Phân Loại,Liqueur,1,1,,,,,
14,simple,,Choya Organic,1,0,visible,,"<div>
                                
    </div>",,,,Hết hàng,0,,,,,,,,,,,,800000,Liqueur / Tequila / Gin / Rum,,,https://ruoutaychinhhang.com/userfiles/images/SAN%20PHAM/choya-organic-680.jpg,,,,,,,,,,Dung Tích,700 ml,1,1,Nồng Độ,17%,1,1,Tuổi Rượu,,1,1,Thương Hiệu,Choya,1,1,Xuất xứ,Nhật,1,1,Phân Loại,Liqueur,1,1,,,,,
15,simple,,Glencadam 15 Năm,1,0,visible,,"<div>
                                
    </div>",,,,Còn hàng,1,,,,,,,,,,,,1700000,Whisky,,,https://ruoutaychinhhang.com/userfiles/images/SAN%20PHAM/glencadam-15-nam-1020.jpg,,,,,,,,,,Dung Tích,700 ml,1,1,Nồng Độ,46%,1,1,Tuổi Rượu,15 năm,1,1,Thương Hiệu,Glencadam,1,1,Xuất xứ,Scotland,1,1,Phân Loại,Single Malt Scotch Whisky,1,1,,,,,
16,simple,,Hennessy VS Very Special Luminous (Đèn),1,0,visible,,"<div>
                                
    </div>",,,,Còn hàng,1,,,,,,,,,,,,860001,Cognac,Phiên bản giới hạn,,https://cdn-images.kiotviet.vn/ctydailoi/584ab43f8d46493fbf3d005230c374fe.jpg,,,,,,,,,,Dung Tích,700 ml,1,1,Nồng Độ,40%,1,1,Tuổi Rượu,VS,1,1,Thương Hiệu,Hennessy,1,1,Xuất xứ,Pháp,1,1,Phân Loại,Cognac,1,1,,,,,
17,simple,,Hennessy VS 1750ml,1,0,visible,,"<div>
                                
    </div>",,,,Hết hàng,0,,,,,,,,,,,,2700000,Cognac,,,https://ruoutaychinhhang.com/userfiles/images/SAN%20PHAM/hennessy-vs-1750ml-1259.jpg,,,,,,,,,,Dung Tích,1750 ml,1,1,Nồng Độ,40%,1,1,Tuổi Rượu,VS,1,1,Thương Hiệu,Hennessy,1,1,Xuất xứ,Pháp,1,1,Phân Loại,Cognac,1,1,,,,,
18,simple,,Hennessy VS - Very Special VHILS (Vàng),1,0,visible,,"<div>
                                
    </div>",,,,Hết hàng,0,,,,,,,,,,,,850000,Cognac,,,https://ruoutaychinhhang.com/userfiles/images/SAN%20PHAM/hennessy-vs-very-special-vhils-vang-319.jpg,,,,,,,,,,Dung Tích,700 ml,1,1,Nồng Độ,40%,1,1,Tuổi Rượu,VS,1,1,Thương Hiệu,Hennessy,1,1,Xuất xứ,Pháp,1,1,Phân Loại,Cognac,1,1,,,,,
19,simple,,Glenlivet 18 Năm Hộp Gỗ,1,0,visible,,"<div>
                                <div>
                    <h3>Chi tiết sản phẩm</h3>
                    <hr>
<h2><strong>RƯỢU GLENLIVET 18 NĂM HỘP GỖ</strong></h2>

<p>Sau hơn 18 năm ủ trong các thùng gỗ được lựa chọn kĩ lưỡng, Glenlivet 18 năm trở thành một loại rượu whisky đơn mạch đậm đà hương mật ong không thể nhầm lẫn được.</p>

<p>Glenlivet 18 năm đã giành được hai huy vàng tại cuộc thi Rượu mạnh và Rượu vang Quốc tế - Cuộc thi đỉnh cao trong lĩnh vực này trên thế giới</p>

<h3><strong>TR</strong><strong>ẢI NGHIỆM RƯỢU GLENLIVET 18 NĂM</strong></h3>

<p>Màu sắc: vàng cổ điển với màu quả mơ chín.</p>

<p>Mùi hương: hương mật ong ngọt ngào hòa quyện cùng hương gỗ sồi, kẹo bơ</p>

<p>Hương vị: vị ngọt cảm nhận ngay sau vị cay nồng nhưng cực kì thanh thoát của quả cam và gỗ sồi.</p>

<p>Hậu vị: kéo dài với hương vị chát của nho khô.</p>

<h3><strong>GIẢI THƯỞNG</strong></h3>

<p>International Wine &amp; Spirit Competition, Gold 2017</p>

<hr>
                </div>
                                
    </div>",,,,Còn hàng,1,,,,,,,,,,,,2800000,Whisky,,,https://ruoutaychinhhang.com/userfiles/images/SAN%20PHAM/glenlivet-18-nam-hop-go-1334.jpg,,,,,,,,,,Dung Tích,700 ml,1,1,Nồng Độ,40%,1,1,Tuổi Rượu,18 năm,1,1,Thương Hiệu,Glenlivet,1,1,Xuất xứ,Scotland,1,1,Phân Loại,Single Malt Scotch Whisky,1,1,,,,,
20,simple,,Glenlivet 21 Năm,1,0,visible,,"<div>
                                <div>
                    <h3>Chi tiết sản phẩm</h3>
                    <hr>
<h2><span><strong>RƯỢU GLENLIVET 21 NĂM</strong></span></h2>

<p><span><strong>PHIÊN BẢN ĐẶC BIỆT CỦA BẬC THẦY CHƯNG CẤT</strong></span></p>

<ul>
	<li>Nổi bật với màu hổ phách và sắc đổng lấp lánh, The Glenlivet Archive 21 năm là một loại whisky mạch nha đơn độc nhất có vị ngon hấp dẫn và ấn tượng như màu sắc của nó.</li>
	<li>The Glenlivet 21 nàm được ủ trong những thùng gỗ sổi gia còng bằng tay được chọn bởi chính tay bậc thầy chưng cất Alan Winchester, cho hương thơm hoà quyện đặc sắc của rượu và của gỗ sổi.</li>
	<li>Là phiên bản giới hạn, mỗi chai The Glenlivet 21 nãm được đánh số riêng biệt tương xứng với sổ hiệu của từng mẻ rượu đã được chính bặc tháy chưng cất tuyển chọn kĩ càng.</li>
</ul>

<p><img alt=""Glenlivet 21 Năm"" src=""https://ruoutaychinhhang.com/userfiles/images/CHI%20TIET%20SAN%20PHAM/Glenlivet%2021%20nam.jpg"" title=""Glenlivet 21 Năm""></p>

<h3><strong>ĐẶC TRƯNG SẢN PHẨM</strong></h3>

<ul>
	<li>Màu sắc: màu hổ phách vàng sậm.</li>
	<li>Mùi hương: tinh tế với hương gỗ và trái cây, ngậy bùi với hương bánh qui mới nướng.</li>
	<li>Hương vị: tràn đầy vị cay nồng của quế, gừng, sô-cô-la đen, ẩn chứa vị thanh của các loại hoa quả thảo mộc và gỗ sồi.</li>
	<li>Hậu vị: kéo dài êm dịu cùng với hương vị ngọt nhẹ của quả hạnh nhân rang.</li>
</ul>

<h3><strong>GIẢI THƯỞNG</strong></h3>

<ul>
	<li>The Asian Spirits Masters, Gold 2016</li>
	<li>HK International Wine &amp; Spirits Competition, Gold 2015</li>
</ul>
                </div>
                                
    </div>",,,,Còn hàng,1,,,,,,,,,,,,4500000,Whisky,,,https://ruoutaychinhhang.com/userfiles/images/SAN%20PHAM/glenlivet-21-nam-688.jpg,,,,,,,,,,Dung Tích,700 ml,1,1,Nồng Độ,43%,1,1,Tuổi Rượu,21 năm,1,1,Thương Hiệu,Glenlivet,1,1,Xuất xứ,Scotland,1,1,Phân Loại,Single Malt Scotch Whisky,1,1,,,,,
